id_banque,nom_banque,type,petit,moyen,grand,cautionnement
186,BANQUE NATIONALE D ALGERIE - BNA,personnel,5000 DA/ AN,7000 DA/ AN,10000 DA/ AN,20000 DA
186,BANQUE NATIONALE D ALGERIE - BNA,professionnel,5000 DA/ AN,7000 DA/ AN,10000 DA/ AN,20000DA
186,BANQUE NATIONALE D ALGERIE - BNA,entreprise,5000 DA/ AN,7000 DA/ AN,10000 DA/ AN,20000DA
278,BANQUE DE L AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,personnel,8000 DA/an,12000 DA/an,16000 DA/an,10000 DA/an
278,BANQUE DE L AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,professionnel,,,,
278,BANQUE DE L AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,entreprise,8000 DA/an,12000 DA/an,16000 DA/an,10000 DA/an
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,personnel,5000,7000,10000,10000
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,professionnel,,,,
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,entreprise,,,,
469,CREDIT POPULAIRE D ALGERIE - CPA,personnel,3000 DA/an,4000 DA/an,6000 DA/an,6000 DA
469,CREDIT POPULAIRE D ALGERIE - CPA,professionnel,,,,
469,CREDIT POPULAIRE D ALGERIE - CPA,entreprise,,,,
214,ARAB BANKING CORPORATION ALGERIE - ABC,personnel,5 000 DZD,10 000 DZD,20 000 DZD,10 000 DZD
214,ARAB BANKING CORPORATION ALGERIE - ABC,professionnel,5 000 DZD,10 000 DZD,20 000 DZD,10 000 DZD
214,ARAB BANKING CORPORATION ALGERIE - ABC,entreprise,5 000 DZD,10 000 DZD,20 000 DZD,10 000 DZD
353,NATIXIS BANQUE,personnel,,,,
353,NATIXIS BANQUE,professionnel,,,,
353,NATIXIS BANQUE,entreprise,,,,
876,SOCIETE GENERALE ALGERIE,personnel,,,,
876,SOCIETE GENERALE ALGERIE,professionnel,,,,
876,SOCIETE GENERALE ALGERIE,entreprise,,,,
175,ARAB BANK PLC ALGERIA,personnel,6000,8000 / 10000,12000,30000
175,ARAB BANK PLC ALGERIA,professionnel,,,,
175,ARAB BANK PLC ALGERIA,entreprise,,,,
366,B.N.P.-PARIBAS EL DJAZAIR,personnel,,,,
366,B.N.P.-PARIBAS EL DJAZAIR,professionnel,,,,
366,B.N.P.-PARIBAS EL DJAZAIR,entreprise,,,,
2037,TRUST BANK ALGERIA,personnel,,,,
2037,TRUST BANK ALGERIA,professionnel,,,,
2037,TRUST BANK ALGERIA,entreprise,,,,
339345,GULF BANK ALGERIA,personnel,,,,
339345,GULF BANK ALGERIA,professionnel,,,,
339345,GULF BANK ALGERIA,entreprise,,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,personnel,,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,professionnel,,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,entreprise,,,,
2437,FRANSABANK EL-DJAZAIR,personnel,,,,
2437,FRANSABANK EL-DJAZAIR,professionnel,,,,
2437,FRANSABANK EL-DJAZAIR,entreprise,,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,personnel,,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,professionnel,,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,entreprise,,,,
205,AL SALAM BANK - ALGERIA - SPA,personnel,"5 000,00 / an","8 000,00 / an","10 000,00 / an","10 000,00 / an"
205,AL SALAM BANK - ALGERIA - SPA,professionnel,"5 000,00 / an","8 000,00 / an","10 000,00 / an","10 000,00 / an"
205,AL SALAM BANK - ALGERIA - SPA,entreprise,"5 000,00 / an","8 000,00 / an","10 000,00 / an","10 000,00 / an"
